"Recipe Name","servings","Total Time","Instruction"
"Healthified Broccoli Cheddar Soup","6 serving(s)","40","Separate the stems and the florets from the broccoli. Trim and discard the bottom of the broccoli stems and peel the tough outer layers. Finely chop the stems and coarsely chop the florets and set aside separately.
Mist a large pot with nonstick cooking spray and heat over medium heat. Add the broccoli stems, onions and potatoes and cook, stirring, until softened, 7 to 10 minutes. Add the flour and cook, stirring, until lightly toasted, about 2 minutes. Stir in the broth and bring to a boil. Reduce the heat to maintain a simmer and continue to cook, stirring occasionally, until thickened and the vegetables are tender, 12 to 15 minutes.
Meanwhile, combine the reserved florets and 1/2 cup water in a small saucepan. Bring to a boil, cover and continue to steam until the florets are bright green and crisp-tender, about 5 minutes. Add the entire contents of the pot with the florets to the soup along with the nutmeg. Stir to combine and remove from the heat. Stir in the Cheddar, Worcestershire and milk. Season with salt and pepper. Garnish with the scallions."
"Hash Brown Casserole","10 serving(s)","80","Preheat the oven to 375 degrees F. Coat a 9- by 13-inch baking dish with cooking spray.
Whisk together the yogurt, milk, sour cream and flour in a large bowl. Stir in the hash browns, 1/2 cup of the Cheddar, 2 teaspoons salt and 1/2 teaspoon pepper. Set aside.
Melt the butter in a large skillet over medium-high heat. Add the onions and cook, stirring often, until soft and lightly browned, about 10 minutes. Add the mushrooms and cook, stirring often, until the mushrooms are wilted and the onions begin to brown, about 10 minutes more. If the pan gets too hot, add a splash or two of water as needed. Stir in the garlic and cook for 1 minute. Stir the vegetables into the hash brown mixture to combine.
Spread the mixture evenly in the prepared dish. Sprinkle with the remaining 1/2 cup cheese, the breadcrumbs and nutmeg if using. Bake until a deep golden brown, about 45 minutes.
Sprinkle with parsley and serve."
"Pork Tenderloin with Seasoned Rub","4 serving(s)","35","Preheat the oven to 450 degrees F.
In separate bowl mix dry ingredients such as garlic powder, oregano, cumin, coriander, thyme and salt. Stir mixture with a fork until all the ingredients are well combined and they form a seasoning. This will be used as a rub to ensure the pork is well seasoned throughout. Sprinkle the rub over the tenderloin with a dry hand, then rub the pork with the seasoning over both sides of the meat, pressing gently so the seasoning adheres well to the tenderloin.
In a large skillet over medium-high heat, add the olive oil and heat. Add the minced garlic and saute, stirring, for 1 minute. Put tenderloin in the pan and cook for about 10 minutes, searing each side using tongs to turn the meat. Transfer meat to a roasting pan and bake for 20 minutes. Slice and serve."
"Chicken and Broccoli Stir-Fry","4 serving(s)","27","In a medium bowl, toss the chicken with the scallion whites, sugar, sesame oil, sherry, soy sauce, about half the garlic, half the ginger, 1 teaspoon of the cornstarch and 1 teaspoon salt. Marinate at room temperature for 15 minutes. Mix the remaining 1 tablespoon cornstarch with 1/3 cup water in a small bowl and reserve.
Heat a large nonstick skillet over high heat. Add 1 tablespoon of the vegetable oil and heat. Add the broccoli stems and stir-fry for 30 seconds. Add the florets and the remaining garlic and ginger, 2 tablespoons water, 1/4 teaspoon salt and some black pepper. Stir-fry until the broccoli is bright green but still crisp, about 2 minutes. Transfer to a plate.
Get the skillet good and hot again, and then heat the remaining 2 tablespoons vegetable oil. Add the chicken and red pepper flakes if using. Stir-fry until the chicken loses its raw color and gets a little brown, about 3 minutes. Add the hoisin sauce, return the broccoli to the pan and toss to heat through. Stir in the reserved cornstarch mixture and bring to a boil to thicken. Add more water if need to thin the sauce, if necessary. Taste and season with salt and pepper, if you like.
Mound the stir-fry on a serving platter or divide among 4 plates and garnish with sesame seeds; serve with rice."
"Roman-Style Chicken","6 serving(s)","60","Season the chicken with 1/2 teaspoon salt and 1/2 teaspoon pepper. In a heavy, large skillet, heat the olive oil over medium heat. When the oil is hot, cook the chicken until browned on both sides. Remove from the pan and set aside.
Keeping the same pan over medium heat, add the peppers and prosciutto and cook until the peppers have browned and the prosciutto is crisp, about 5 minutes. Add the garlic and cook for 1 minute. Add the tomatoes, wine, and herbs. Using a wooden spoon, scrape the browned bits off the bottom of the pan. Return the chicken to the pan, add the stock, and bring the mixture to a boil. Reduce the heat and simmer, covered, until the chicken is cooked through, about 20 to 30 minutes.
If serving immediately, add the capers and the parsley. Stir to combine and serve. If making ahead of time, transfer the chicken and sauce to a storage container, cool, and refrigerate. The next day, reheat the chicken to a simmer over medium heat. Stir in the capers and the parsley and serve."
"Guacamole","6 serving(s)","80","In a large bowl place the scooped avocado pulp and lime juice, toss to coat. Drain, and reserve the lime juice, after all of the avocados have been coated. Using a potato masher add the salt, cumin, and cayenne and mash. Then, fold in the onions, tomatoes, cilantro, and garlic. Add 1 tablespoon of the reserved lime juice. Let sit at room temperature for 1 hour and then serve."
"Roasted Brussels Sprouts","6 serving(s)","50","Preheat oven to 400 degrees F.
Cut off the brown ends of the Brussels sprouts and pull off any yellow outer leaves. Mix them in a bowl with the olive oil, salt and pepper. Pour them on a sheet pan and roast for 35 to 40 minutes, until crisp on the outside and tender on the inside. Shake the pan from time to time to brown the sprouts evenly. Sprinkle with more kosher salt ( I like these salty like French fries), and serve immediately."
"Oven-Baked Salmon","4 serving(s)","20","Preheat the oven to 450 degrees F.
Season salmon with salt and pepper. Place salmon, skin side down, on a non-stick baking sheet or in a non-stick pan with an oven-proof handle. Bake until salmon is cooked through, about 12 to 15 minutes. Serve with the Toasted Almond Parsley Salad and squash, if desired.
Mince the shallot and add to a small bowl. Pour the vinegar over the shallots and add a pinch of salt. Let sit for 30 minutes.
Roughly chop the capers, parsley and almonds and add to the shallots. Add the olive oil, tasting as you go. Mix again and adjust the seasonings."
"Chicken Saltimbocca","6 serving(s)","35","Place the chicken cutlets flat on the work surface. Sprinkle the chicken with salt and pepper. Lay 1 slice of prosciutto atop each chicken cutlet.
Squeeze the frozen spinach to remove the excess water. Season the spinach with salt and pepper. In a small bowl, toss the spinach with 1 tablespoon of oil to coat.
Arrange an even, thin layer of spinach atop the prosciutto slices. Sprinkle the Parmesan evenly over each. Beginning at the short tapered end, roll up each chicken cutlet as for a jellyroll. Secure with a toothpick.
Heat the remaining 2 tablespoons of oil in a heavy large skillet over high heat. Add the chicken and cook just until golden brown, about 2 minutes per side. Add the chicken broth and lemon juice, and scrape the browned bits off the bottom of the pan with a wooden spoon. Bring the liquid to a boil. Reduce the heat to medium. Cover and simmer until the chicken is just cooked through, about 8 to 10 minutes. Transfer the chicken to a platter. Simmer the cooking liquid over high heat until it is reduced to about 2/3 cup, about 5 minutes. Season the cooking liquid with salt and pepper, to taste. Remove toothpicks from the chicken. Drizzle the reduced cooking liquid over the chicken and serve immediately."
"Lentil Soup","8 serving(s)","75","Place the olive oil into a large 6-quart Dutch oven and set over medium heat. Once hot, add the onion, carrot, celery and salt and sweat until the onions are translucent, approximately 6 to 7 minutes. Add the lentils, tomatoes, broth, coriander, cumin and grains of paradise and stir to combine. Increase the heat to high and bring just to a boil. Reduce the heat to low, cover and cook at a low simmer until the lentils are tender, approximately 35 to 40 minutes. Using a stick blender, puree to your preferred consistency. Serve immediately."
